AuthorYear,Study,Case,Year,Grain,Grain_unit,ln_Grain,Latitude,Longitude,Extent ,Research_type,Habitat_type,z,var_z
"Stohlgren et al., 2003",1,1,2003,1,m2,0,39,-105.3,[105-106],observational,forest,0.005000042,0.002967359
"Stohlgren et al., 2003",1,2,2003,672,m2,6.5103,39,-105.3,[105-106],observational,forest,0.376885901,0.033333333
"Stohlgren et al., 2003",1,3,2003,1,m2,0,39,-75.5,[103-104],observational,forest,-0.005000042,0.002531646
"Stohlgren et al., 2003",1,4,2003,672,m2,6.5103,39,-75.5,[103-104],observational,forest,0.192337169,0.027777778
"Stohlgren et al., 2003",1,5,2003,1,m2,0,44,-85,[105-106],observational,forest,0.038018307,0.002247191
"Stohlgren et al., 2003",1,6,2003,672,m2,6.5103,44,-85,[105-106],observational,forest,0.018001944,0.014705882
"Stohlgren et al., 2003",1,7,2003,1,m2,0,44,-120.5,[105-106],observational,forest,0.013000732,0.002898551
"Stohlgren et al., 2003",1,8,2003,672,m2,6.5103,44,-120.5,[105-106],observational,forest,0.475957159,0.024390244
"Stohlgren et al., 2003",1,9,2003,1,m2,0,41,-77.5,[105-106],observational,forest,0.036015564,0.001078749
"Stohlgren et al., 2003",1,10,2003,672,m2,6.5103,41,-77.5,[105-106],observational,forest,0.621253234,0.012820513
"Stohlgren et al., 2003",1,11,2003,1,m2,0,37.5,-79,[105-106],observational,forest,0.215264538,0.006756757
"Stohlgren et al., 2003",1,12,2003,672,m2,6.5103,37.5,-79,[105-106],observational,forest,0.59014516,0.083333333
"Stohlgren et al., 2003",1,13,2003,1,m2,0,47.5,-120.5,[105-106],observational,forest,0.020002667,0.008264463
"Stohlgren et al., 2003",1,14,2003,672,m2,6.5103,47.5,-120.5,[105-106],observational,forest,0.032010929,0.111111111
"Stohlgren et al., 2003",1,15,2003,1,m2,0,43,-107.5,[105-106],observational,forest,0.161386696,0.00462963
"Stohlgren et al., 2003",1,16,2003,672,m2,6.5103,43,-107.5,[105-106],observational,forest,0.320545409,0.055555556
"Brown & Peet, 2003",2,1,2003,100,m2,4.6052,36.64,-82.73,[103-104],observational,wetland,0.048036915,0.009615385
"Brown & Peet, 2003",2,2,2003,10,m2,2.3026,36.64,-82.73,[103-104],observational,wetland,0.02200355,0.009615385
"Brown & Peet, 2003",2,3,2003,1,m2,0,36.64,-82.73,[103-104],observational,wetland,0.036015564,0.009615385
"Brown & Peet, 2003",2,4,2003,0.1,m2,-2.3026,36.64,-82.73,[103-104],observational,wetland,0.103366579,0.009615385
"Brown & Peet, 2003",2,5,2003,0.01,m2,-4.6052,36.64,-82.73,[103-104],observational,wetland,0.050041729,0.009615385
"Brown & Peet, 2003",2,6,2003,100,m2,4.6052,36.64,-82.73,[103-104],observational,forest,0.174757577,0.000932836
"Brown & Peet, 2003",2,7,2003,10,m2,2.3026,36.64,-82.73,[103-104],observational,forest,0.13073985,0.000932836
"Brown & Peet, 2003",2,8,2003,1,m2,0,36.64,-82.73,[103-104],observational,forest,0.118552299,0.000932836
"Brown & Peet, 2003",2,9,2003,0.1,m2,-2.3026,36.64,-82.73,[103-104],observational,forest,0,0.000932836
"de Albuquerque et al., 2011",3,1,2011,100,km2,18.4207,53.5,-2.25,[105-106],observational,many,1.221173518,0.000444642
"Figueroa et al., 2011",4,1,2011,1600,m2,7.3778,-33,-71,[103-104],observational,many,-0.290940262,0.033333333
"Gary & Azuma, 2005",5,1,2005,672,m2,6.5103,44,-120.5,[105-106],observational,forest,0.309519604,0.009345794
